"sortedIml...1." "sortedIml...6." "sortedIml...2." "genreRank" "timeID"
"97" 2012-10-20 19:49:38 "『柳田格之進』-10 柳田の碁盤割り～中入り" "Traditional" 2 163
"98" 2012-10-20 20:00:06 "『干物箱』-1 出囃子「三下り中の舞」～マクラ" "Traditional" 2 164
"99" 2012-10-20 20:03:04 "『干物箱』-2 噛み合わない父子の会話" "Traditional" 2 164
"100" 2012-10-20 20:10:12 "『干物箱』-3 息子脱出～また遊びの虫が" "Traditional" 2 164
"101" 2012-10-20 20:20:19 "『干物箱』-4 善公との打ち合わせ" "Traditional" 2 164
"102" 2012-10-20 20:23:07 "『干物箱』-5 替え玉作戦成功か" "Traditional" 2 164
"103" 2012-10-20 20:35:55 "We Weren't Born To Follow" "Metal" 4 164
"104" 2012-10-20 20:41:13 "When We Were Beautiful" "Metal" 4 164
"105" 2012-10-20 20:45:17 "Work For The Working Man" "Metal" 4 164
"106" 2012-10-20 20:50:30 "Superman Tonight" "Metal" 4 164
"107" 2012-10-20 20:54:20 "Bullet" "Metal" 4 164
"108" 2012-10-20 20:58:46 "Thorn In My Side" "Metal" 4 164
"109" 2012-10-20 21:03:04 "Live Before You Die" "Metal" 4 165
"110" 2012-10-20 21:08:02 "Brokenpromiseland" "Metal" 4 165
"111" 2012-10-20 21:12:40 "Love's The Only Rule" "Metal" 4 165
"112" 2012-10-20 21:15:57 "Fast Cars" "Metal" 4 165
"113" 2012-10-20 21:20:18 "Happy Now" "Metal" 4 165
"114" 2012-10-20 21:24:57 "Learn To Love" "Metal" 4 165
"115" 2012-10-21 20:24:04 "青菜" "Traditional" 2 20
"116" 2012-10-21 21:11:57 "佐々木裁き" "Traditional" 2 21
"117" 2012-10-22 02:33:54 "Soldier" "Jazz" 6 26
"118" 2012-10-22 02:40:24 "Fulani" "Jazz" 6 26
"119" 2012-10-22 02:45:16 "Here's Why Tears Dry" "Jazz" 6 26
"120" 2012-10-22 02:49:30 "I Wanna Play For You Too" "Jazz" 6 26
"121" 2012-10-22 02:53:11 "Bass Folk Song No. 10" "Jazz" 6 26
"122" 2012-10-22 03:00:20 "No Mystery" "Jazz" 6 27
"123" 2012-10-22 03:06:14 "How Is the Weather Up There?" "Jazz" 6 27
"124" 2012-10-22 03:12:46 "Larry Has Traveled 11miles And Waited A Lifetime For The Return Of Vishnu's Report" "Jazz" 6 27
"125" 2012-10-22 03:18:43 "Labyrinth" "Jazz" 6 27
"126" 2012-10-22 03:27:32 "Sonny Rollins" "Jazz" 6 27
"127" 2012-10-22 03:30:14 "Bass Folk Song No. 6 (Mo Anam Cara)" "Jazz" 6 27
"128" 2012-10-22 03:34:11 "Somewhere" "Jazz" 6 27
"129" 2012-10-22 18:09:59 "日和ちがい" "Traditional" 2 42
"130" 2012-10-22 18:11:42 "SR" "Traditional" 2 42
"131" 2012-10-22 18:25:54 "『付き馬』 出囃子「三下り中の舞」～マクラ" "Traditional" 2 42
"132" 2012-10-23 10:37:18 "Milky Way" "Jazz" 6 58
"133" 2012-10-23 10:40:45 "Umbrellas" "Jazz" 6 58
"134" 2012-10-23 10:46:08 "Seventh Arrow" "Jazz" 6 58
"135" 2012-10-23 10:54:52 "Orange Lady" "Jazz" 6 58
"136" 2012-10-23 10:59:18 "Morning Lake" "Jazz" 6 58
"137" 2012-10-24 12:27:33 "『付き馬』 若い衆を煙に巻いて登楼" "Traditional" 2 84
"138" 2012-10-24 12:29:14 "『付き馬』 翌朝のやりとり～時間つぶしの散策" "Traditional" 2 84
"139" 2012-10-24 12:33:50 "『付き馬』 朝湯朝酒朝御飯" "Traditional" 2 84
"140" 2012-10-24 12:40:06 "『付き馬』 奥山から浅草寺、仲見世から雷門" "Traditional" 2 84
"141" 2012-10-24 12:44:46 "『付き馬』 たまりかねた若い衆～早桶屋へ案内" "Traditional" 2 84
"142" 2012-10-24 12:47:07 "『付き馬』 特殊な早桶の註文" "Traditional" 2 84
"143" 2012-10-24 12:56:41 "『付き馬』 早桶屋と若い衆のやりとり～サゲ～追い出し" "Traditional" 2 84
"144" 2012-10-24 19:43:58 "『三年目』 出囃子「三下り中の舞」～マクラ" "Traditional" 2 91
"145" 2012-10-24 19:58:44 "『三年目』 愛妻の遺言" "Traditional" 2 91
"146" 2012-10-24 20:09:56 "『三年目』 やむを得ずの再婚～そして三年目の法事" "Traditional" 2 92
"147" 2012-10-24 20:17:03 "『三年目』 三年目の幽霊～サゲ～追い出し" "Traditional" 2 92
"148" 2012-10-29 20:59:26 "Black Market" "Jazz" 6 44
"149" 2012-10-29 21:04:06 "Cannon Ball" "Jazz" 6 45
"150" 2012-10-29 21:11:54 "Gibraltar" "Jazz" 6 45
"151" 2012-10-29 21:17:00 "Elegant People" "Jazz" 6 45
"152" 2012-10-29 21:20:25 "Three Clowns" "Jazz" 6 45
"153" 2012-10-29 21:23:41 "Barbary Coast" "Jazz" 6 45
"154" 2012-10-29 21:30:17 "Herandnu" "Jazz" 6 45
"155" 2012-10-30 18:27:51 "出囃子「三下り中の舞」・マクラ" "Traditional" 2 66
"156" 2012-10-30 18:32:44 "家主への対抗策" "Traditional" 2 66
"157" 2012-10-30 18:43:18 "怪談ばなし一回目" "Traditional" 2 66
"158" 2012-10-30 20:12:09 "(Just) Tell Me Pretty Lies" "Jazz" 6 68
"159" 2012-10-30 20:16:57 "No Sympathy" "Jazz" 6 68
"160" 2012-10-30 20:21:27 "Is It You?" "Jazz" 6 68
"161" 2012-10-30 20:23:15 "Dreamwalk" "Jazz" 6 68
"162" 2012-10-30 20:27:41 "Countdown (Captain Fingers)" "Jazz" 6 68
"163" 2012-10-30 20:35:34 "(You Caught Me) Smilin'" "Jazz" 6 68
"164" 2012-10-30 20:39:46 "On The Slow Glide" "Jazz" 6 68
"165" 2012-10-30 20:41:42 "No Sympathy (Reprise)" "Jazz" 6 68
"166" 2012-10-30 20:45:12 "Mr. Briefcase" "Jazz" 6 68
"167" 2012-10-30 21:50:09 "Matchmakers" "Jazz" 6 69
"168" 2012-10-30 21:55:37 "What Do You Want (LP Version)" "Jazz" 6 69
"169" 2012-10-30 22:06:21 "Morning Glory (LP Version)" "Jazz" 6 70
"170" 2012-10-30 22:16:37 "The Captain's Journey (LP Version)" "Jazz" 6 70
"171" 2012-10-30 22:21:43 "Sugarloaf Express" "Jazz" 6 70
"172" 2012-10-30 22:27:08 "That's Enough For Me (LP Version)" "Jazz" 6 70
"173" 2012-10-31 12:16:47 "出囃子「三下り中の舞」・マクラ" "Traditional" 2 84
"174" 2012-10-31 12:23:25 "木場への道すがら" "Traditional" 2 84
"175" 2012-10-31 12:35:18 "三年ぶりの父と子" "Traditional" 2 84
"176" 2012-10-31 12:41:45 "母と子" "Traditional" 2 84
"177" 2012-10-31 12:45:51 "翌日、春ふたたび・サゲ・追い出し" "Traditional" 2 84
"178" 2012-10-31 22:00:52 "饅頭こわい" "Traditional" 2 94
"179" 2012-10-31 22:41:35 "ちしゃ医者" "Traditional" 2 94
"180" 2012-11-02 04:39:51 "AWAKEN" "Jazz" 6 124
"181" 2012-11-02 04:45:03 "MIST" "Jazz" 6 124
"182" 2012-11-02 04:49:38 "心・奥 KOKORO-CK" "Jazz" 6 124
"183" 2012-11-02 04:54:58 "WILL YOU LOVE ME TOMORROW" "Jazz" 6 124
"184" 2012-11-02 04:59:40 "ESCALATION" "Jazz" 6 124
"185" 2012-11-02 05:04:00 "ASOBIにつれてって" "Jazz" 6 125
"186" 2012-11-02 05:10:10 "LIFE LONG SERENADE" "Jazz" 6 125
"187" 2012-11-02 05:14:08 "PITY" "Jazz" 6 125
"188" 2012-11-02 05:17:52 "ARDENT" "Jazz" 6 125
"189" 2012-11-02 05:29:39 "PAST AND FUTURE＿DAWN＿STRAIN＿SORROW_TESTED_MENTALITY_UNLIMITED" "Jazz" 6 125
"190" 2012-11-02 18:44:19 "The Pursuit Of The Woman With The Feathered Hat" "Jazz" 6 138
"191" 2012-11-04 22:23:07 "花筏" "Traditional" 2 22
"192" 2012-11-04 22:29:53 "Birdland" "Jazz" 6 22
"193" 2012-11-04 22:34:59 "The Juggler" "Jazz" 6 22
"194" 2012-11-04 23:16:33 "持参金" "Traditional" 2 23
"195" 2012-11-05 15:51:17 "Scarlet Woman" "Jazz" 6 39
"196" 2012-11-05 15:57:21 "Teen Town" "Jazz" 6 39
"197" 2012-11-05 16:05:23 "A Remark You Made" "Jazz" 6 40
"198" 2012-11-05 16:15:11 "Black Market" "Jazz" 6 40
"199" 2012-11-05 16:17:57 "In A Silent Way" "Jazz" 6 40
"200" 2012-11-07 01:35:18 "Good Morning" "Pop" 3 73
